collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
勸店主,5,0,2,0.9111973056408651,2.1251505779971667,店主,1895-1911,2-gram,0.3813591640607124,13111,3
詢店主,5,0,2,0.9074956315664844,2.1165567146077913,店主,1895-1911,2-gram,0.3813591640607124,13111,3
店主詢,5,0,2,0.8944482549313255,2.086138692419855,店主,1895-1911,2-gram,0.3813591640607124,13111,3
知店主,64,0,2,0.8844882284527307,7.030132253650173,店主,1895-1911,2-gram,4.8813972999771185,13111,4
餘元店主,36,0,3,0.8385139464721796,2.982946932878679,店主,1895-1911,3-gram,2.745785981237129,13111,3
現店主,20,0,2,0.8339145284115279,3.7515360804784135,店主,1895-1911,2-gram,1.5254366562428496,13111,4
命店主,19,0,2,0.8222122028176644,3.6080449617158514,店主,1895-1911,2-gram,1.449164823430707,13111,4
店主店夥,7,0,2,0.7855217249028468,2.140171085854865,店主,1895-1911,2-gram,0.5339028296849972,13111,4
傷店主,12,0,2,0.7272849547153735,2.5578049393288005,店主,1895-1911,2-gram,0.9152619937457097,13111,4
文店主,12,0,2,0.7164811238909863,2.5199221599083326,店主,1895-1911,2-gram,0.9152619937457097,13111,3
時店主,30,0,2,0.646843649849834,3.549252855157752,店主,1895-1911,2-gram,2.288154984364274,13111,4
供店主,75,0,2,0.6449883277675985,5.546960465725239,店主,1895-1911,2-gram,5.720387460910686,13111,4
諭店主,19,0,2,0.6446758081766832,2.8310926020509557,店主,1895-1911,2-gram,1.449164823430707,13111,4
店主見,26,0,2,0.5452069105181887,2.7904439862615873,店主,1895-1911,2-gram,1.9830676531157045,13111,4
遂店主,18,0,2,0.5263182084012423,2.2524397543831336,店主,1895-1911,2-gram,1.3728929906185645,13111,5
店家門,5,0,2,4.547500495907201,10.26838816388463,店家,1895-1911,2-gram,0.3813591640607124,13111,3
店家,6,0,2,1.6534528724437618,4.04010140879732,店家,1895-1911,2-gram,0.45763099687285486,13111,3
供東家,14,0,2,2.25187346271716,8.30374629181367,東家,1895-1911,2-gram,1.0678056593699945,13111,3
死棧主,28,0,2,3.6633144955876453,19.004226006030155,棧主,1895-1911,2-gram,2.135611318739989,13111,4
傳棧主,82,0,2,3.0657998824133026,26.797325747411705,棧主,1895-1911,2-gram,6.254290290595683,13111,3
提棧主,92,0,2,2.8884896365495614,26.68317291718916,棧主,1895-1911,2-gram,7.0170086187171075,13111,3
命棧主,21,0,2,2.314179270439142,10.598764695521357,棧主,1895-1911,2-gram,1.601708489054992,13111,3
嗣棧主,8,0,2,2.09469540218101,6.064466098044184,棧主,1895-1911,2-gram,0.6101746624971398,13111,3
棧棧主,8,0,2,2.088834704456051,6.047643363731802,棧主,1895-1911,2-gram,0.6101746624971398,13111,3
諭棧主,17,0,2,1.926301965105873,7.983049893374095,棧主,1895-1911,2-gram,1.296621157806422,13111,3
棧主報,28,0,2,1.759731067123612,9.277080551837106,棧主,1895-1911,2-gram,2.135611318739989,13111,3
棧主投,27,0,2,1.7254086280636178,8.939028475386499,棧主,1895-1911,2-gram,2.059339485927847,13111,3
交棧主,28,0,2,1.3066608102291548,6.895616278562016,棧主,1895-1911,2-gram,2.135611318739989,13111,3
知棧主,23,0,2,1.2556003260703785,6.027725928518603,棧主,1895-1911,2-gram,1.7542521546792769,13111,3
獲棧主,9,0,2,0.709299524100746,2.176937268123777,棧主,1895-1911,2-gram,0.6864464953092823,13111,3
棧主案,26,0,2,0.5661845496828746,2.8859607302810977,棧主,1895-1911,2-gram,1.9830676531157045,13111,3
業主租户,6,0,2,7.081276023449062,15.086036526130382,業主,1895-1911,2-gram,0.45763099687285486,13111,3
業主紛紛,10,0,2,4.92265973562013,15.428760243418973,業主,1895-1911,2-gram,0.7627183281214248,13111,3
業主速,8,0,2,3.900607777717889,11.182772130982192,業主,1895-1911,2-gram,0.6101746624971398,13111,4
原業主,29,0,2,3.8229839752243358,20.01553125123649,業主,1895-1911,2-gram,2.211883151552132,13111,4
業主執,6,0,2,3.638673397679676,9.15763002930083,業主,1895-1911,2-gram,0.45763099687285486,13111,3
業主務,8,0,2,3.54205152530876,10.180594209992352,業主,1895-1911,2-gram,0.6101746624971398,13111,4
業主願,7,0,2,3.205603392622908,8.67766841236739,業主,1895-1911,2-gram,0.5339028296849972,13111,4
房屋業主,6,0,2,3.061693486815004,7.7276858342670085,業主,1895-1911,2-gram,0.45763099687285486,13111,4
業主竟,5,0,2,2.926896329485487,6.805238880747218,業主,1895-1911,2-gram,0.3813591640607124,13111,3
現業主,8,0,2,2.4022992888966685,6.932552482853176,業主,1895-1911,2-gram,0.6101746624971398,13111,5
准業主,10,0,2,2.1632544495780848,6.927552514931104,業主,1895-1911,2-gram,0.7627183281214248,13111,4
傳業主,11,0,2,2.1018481385103502,7.037809916237773,業主,1895-1911,2-gram,0.8389901609335673,13111,3
業主限,7,0,2,1.9901294267367162,5.403485226679169,業主,1895-1911,2-gram,0.5339028296849972,13111,4
業主應,6,0,2,1.8038713363749461,4.565029585666642,業主,1895-1911,2-gram,0.45763099687285486,13111,4
知業主,11,0,2,1.6047413750217832,5.376234559565882,業主,1895-1911,2-gram,0.8389901609335673,13111,4
倒閉莊主,8,0,2,4.169734039346716,11.920779851690366,莊主,1895-1911,2-gram,0.6101746624971398,13111,3
傳號主,26,0,2,3.2801442129910785,16.243929265982246,號主,1895-1911,2-gram,1.9830676531157045,13111,3
現號主,9,0,2,2.8133389811856273,8.545526695631565,號主,1895-1911,2-gram,0.6864464953092823,13111,3
車行主,12,0,2,2.9030954010825427,10.131365972195503,行主,1895-1911,2-gram,0.9152619937457097,13111,3
傳行主,55,0,2,2.732054522643815,19.802006659109736,行主,1895-1911,2-gram,4.194950804667836,13111,3
告行主,10,0,2,2.5601157763203264,8.21432647349936,行主,1895-1911,2-gram,0.7627183281214248,13111,3
時行主,18,0,2,1.6195206725847338,6.902281160037444,行主,1895-1911,2-gram,1.3728929906185645,13111,3
事行主,20,0,2,1.3630429787251659,6.113818858255004,行主,1895-1911,2-gram,1.5254366562428496,13111,3
元行主,30,0,2,1.1262748505597129,6.141389213073507,行主,1895-1911,2-gram,2.288154984364274,13111,4
傳茶館主,6,0,2,2.3469108349150765,5.8933027243494465,館主,1895-1911,2-gram,0.45763099687285486,13111,3
茶館主案,8,0,2,1.2932199313907757,3.7004950016195948,館主,1895-1911,2-gram,0.6101746624971398,13111,3
薙髮店主,9,0,2,6.4912702509439875,13.74558889280876,店主,1912-1927,2-gram,0.5386641129997606,16708,3
奉店主命,5,0,3,5.809130377719681,5.582819797593592,店主,1912-1927,3-gram,0.29925784055542254,16708,3
烟紙店主,30,0,2,5.680908879540552,25.62418930708439,店主,1912-1927,2-gram,1.7955470433325353,16708,4
店主報告,7,0,3,5.541149271624224,3.7575683815075336,店主,1912-1927,3-gram,0.41896097677759153,16708,3
店主理論,5,0,3,4.837538763274551,6.182777157768756,店主,1912-1927,3-gram,0.29925784055542254,16708,3
店主無意,16,0,2,4.472766350939738,16.934605649022384,店主,1912-1927,2-gram,0.9576250897773522,16708,3
鐘表店主,10,0,2,4.407379314099069,13.374917126783155,店主,1912-1927,2-gram,0.5985156811108451,16708,4
木器店主,24,0,2,4.110069358384727,19.34689518588578,店主,1912-1927,2-gram,1.4364376346660284,16708,3
店主婦,66,0,2,3.8802625044382832,30.321076810437617,店主,1912-1927,2-gram,3.950203495331578,16708,5
皮箱店主,9,0,2,3.848000495814793,11.410041943382238,店主,1912-1927,2-gram,0.5386641129997606,16708,3
店主投報,12,0,2,3.732086486397228,12.741025507024682,店主,1912-1927,2-gram,0.7182188173330142,16708,3
逸店主,62,0,2,3.53166876362227,27.0653963318585,店主,1912-1927,2-gram,3.7107972228872397,16708,5
店主理論,12,0,2,3.3802535821281827,11.655252711903234,店主,1912-1927,2-gram,0.7182188173330142,16708,3
起火店主,24,0,2,3.364583065951754,16.24084779781313,店主,1912-1927,2-gram,1.4364376346660284,16708,4
店主王某,7,0,2,3.2794142628130003,8.780956717920732,店主,1912-1927,2-gram,0.41896097677759153,16708,3
